15
1
A B C D E F G H I J K L M N O 
a b c d e f g h i j k l m n o 
14 4 15 10 11 3 7 1 9 5 13 8 6 12 2 
1 11 3 15 12 5 4 8 2 10 9 6 13 14 7 
9 5 15 12 4 1 7 13 11 10 2 3 6 14 8 
14 10 8 2 12 15 3 13 7 4 9 11 6 5 1 
7 10 14 5 6 8 2 11 9 12 3 1 4 15 13 
13 15 1 12 4 10 3 14 2 5 7 6 9 8 11 
13 4 3 7 8 10 14 5 9 2 1 11 15 6 12 
3 8 13 7 2 6 12 10 9 14 5 15 11 4 1 
11 13 1 15 6 4 12 3 9 14 10 5 2 8 7 
1 9 8 12 6 4 2 10 11 13 3 15 5 14 7 
8 7 5 14 9 10 1 3 12 15 11 6 2 13 4 
5 6 9 10 11 4 12 1 14 8 7 13 2 3 15 
10 6 4 13 8 7 3 15 5 2 9 11 1 14 12 
5 14 2 7 10 11 4 12 13 6 3 9 8 1 15 
6 1 11 4 3 2 7 15 8 9 10 5 12 14 13 
8 10 6 3 1 2 15 12 13 4 5 14 7 9 11 
15 11 4 2 10 1 6 7 9 3 5 14 13 12 8 
5 9 3 11 7 1 10 6 15 12 8 4 13 2 14 
2 9 3 8 11 12 6 13 1 10 5 4 7 15 14 
15 4 1 6 11 9 5 7 3 13 10 8 2 12 14 
11 7 13 14 8 5 1 4 10 12 9 2 6 15 3 
15 4 13 6 9 11 3 2 1 7 8 10 14 5 12 
2 11 12 9 4 14 1 10 5 13 7 8 15 6 3 
15 6 13 1 3 9 4 8 14 12 2 10 5 11 7 
12 7 6 9 3 14 11 10 8 4 13 2 15 5 1 
9 14 13 7 1 8 2 5 6 11 10 12 3 15 4 
9 8 12 6 5 15 4 13 11 3 10 1 14 2 7 
10 4 2 6 1 5 9 11 15 14 13 8 3 7 12 
14 13 6 3 15 12 5 9 1 11 10 4 2 8 7 
13 3 14 5 11 9 12 2 8 15 7 10 4 6 1 


