100
2
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 
96 38 57 16 51 78 62 67 9 44 91 8 26 75 2 27 39 88 14 65 58 85 7 17 18 68 36 43 56 10 60 82 3 69 59 30 77 74 100 97 34 12 35 5 87 47 40 53 98 83 11 42 54 29 50 6 81 13 72 15 92 89 25 94 46 80 63 32 20 61 23 70 95 64 52 33 45 76 99 79 31 90 48 24 84 49 55 22 71 37 21 28 1 4 73 41 86 19 66 93 
97 9 21 1 77 93 29 27 22 14 95 100 92 84 70 16 62 61 69 91 60 5 78 45 31 86 66 63 74 50 20 56 40 88 81 55 39 85 7 80 89 59 52 8 42 24 71 26 23 73 35 57 36 79 44 19 25 17 68 6 51 41 11 82 32 10 49 34 94 48 99 87 98 53 38 96 28 76 3 18 64 2 83 75 46 90 54 58 37 33 43 47 15 65 30 13 12 4 72 67 
99 83 6 91 84 66 5 77 80 2 45 98 39 22 36 35 86 79 87 18 65 58 8 49 88 94 92 64 59 67 21 33 34 72 11 14 7 74 55 29 38 71 54 24 17 68 69 53 15 9 43 16 3 30 32 27 78 97 90 48 19 31 41 26 95 57 62 37 4 1 52 10 61 100 56 12 40 76 81 20 93 25 85 51 42 13 82 70 50 44 60 89 46 73 23 47 96 28 75 63 
40 22 27 5 35 72 94 2 98 12 99 44 84 55 18 6 9 37 63 80 77 41 58 62 17 86 7 70 4 16 23 3 53 65 100 1 39 11 61 15 36 89 83 19 8 59 34 13 75 42 26 90 24 51 87 91 50 47 95 74 57 69 48 68 30 43 20 52 67 79 64 76 66 78 96 32 82 14 54 49 93 45 33 46 60 25 81 31 29 38 71 92 88 97 85 28 73 21 56 10 
57 8 37 53 52 76 34 13 50 4 5 72 39 90 9 1 83 2 56 87 78 29 32 41 30 95 55 82 46 42 62 91 94 60 47 18 74 35 33 51 81 63 99 71 28 44 15 65 59 79 97 61 36 26 24 40 49 88 68 20 48 31 25 86 11 6 17 10 73 70 92 77 43 22 3 80 85 45 27 69 100 67 14 58 66 16 93 12 21 38 54 64 98 84 19 23 75 7 96 89 
85 59 53 90 86 45 62 35 27 69 100 73 3 98 8 15 40 75 49 50 94 33 72 79 44 92 68 31 25 5 47 58 6 74 70 84 2 37 80 4 64 7 39 1 54 77 83 52 43 32 17 61 96 9 28 23 71 82 10 95 41 76 46 89 93 63 42 91 18 65 87 16 26 66 57 11 55 29 12 81 51 97 60 24 88 19 67 48 99 14 30 22 21 13 38 78 34 36 56 20 
20 94 7 36 38 37 66 47 5 74 43 60 56 63 24 32 6 76 1 50 45 100 33 73 79 99 39 91 21 40 2 58 70 93 85 23 98 4 10 86 16 41 22 96 28 13 83 89 49 44 34 68 52 17 67 77 12 71 19 51 55 95 25 81 57 15 92 78 29 69 72 87 9 14 18 3 35 27 65 88 11 90 8 54 84 80 46 61 26 30 53 82 64 31 42 59 48 62 75 97 
62 65 48 46 54 31 68 60 37 99 47 97 20 87 64 95 23 11 9 52 15 22 57 81 88 49 36 91 17 85 19 71 24 40 90 3 32 43 5 59 2 6 78 66 84 96 69 39 53 35 63 4 61 74 16 72 41 18 79 73 7 100 75 77 30 98 8 45 89 14 38 13 82 50 92 70 55 83 58 94 28 93 76 10 27 21 1 51 33 86 25 56 34 29 42 26 12 44 67 80 
41 48 3 96 97 45 16 2 99 43 70 75 61 58 31 23 53 80 74 50 55 89 91 8 18 65 38 73 25 77 1 57 76 32 42 94 93 67 24 95 82 13 36 46 26 10 79 17 51 88 90 100 78 4 83 72 33 69 47 56 81 87 14 54 22 60 20 62 64 6 11 59 85 66 12 86 7 30 21 49 52 28 39 37 5 98 84 29 40 15 71 35 63 27 19 92 68 44 9 34 
30 3 63 82 80 18 77 79 46 43 87 75 26 10 45 68 65 37 49 61 50 53 73 51 70 76 92 15 64 41 85 86 29 94 33 90 81 95 1 93 38 7 67 2 14 20 19 89 27 9 97 11 96 16 83 66 98 13 78 6 40 47 5 31 74 32 72 22 23 88 48 58 21 56 54 62 35 57 91 71 28 60 44 52 99 12 8 55 84 59 69 24 34 17 39 4 36 100 42 25 
63 78 50 74 59 11 2 23 17 56 75 41 79 4 44 5 88 62 60 21 76 70 100 12 67 84 48 1 42 72 30 53 73 99 68 46 51 69 97 65 9 49 87 34 13 15 26 92 64 33 80 98 39 35 66 55 45 31 25 37 81 89 52 38 40 24 95 7 36 43 3 28 14 58 47 93 16 96 10 19 85 32 29 82 90 77 8 86 83 71 57 18 22 6 94 91 54 27 20 61 
14 44 28 6 49 89 22 27 86 71 87 7 91 13 3 72 20 52 78 29 19 23 58 11 37 56 54 46 66 25 16 81 35 32 12 94 62 18 15 69 9 36 55 47 67 70 96 84 80 57 75 21 39 41 100 17 90 24 73 63 42 4 38 26 98 31 8 79 83 34 43 45 59 93 33 97 5 92 85 64 10 88 65 68 1 53 99 61 40 48 30 51 82 2 74 76 60 95 50 77 
16 69 12 14 4 56 41 86 75 37 28 65 58 38 18 44 40 79 98 32 83 15 50 61 26 52 35 29 90 76 17 20 13 72 62 25 22 59 6 66 23 36 33 93 84 68 100 92 73 46 43 53 10 7 74 39 60 24 11 47 99 19 48 95 67 91 85 21 89 97 87 57 64 96 8 49 51 5 55 80 94 3 31 78 77 71 63 34 42 70 54 2 9 1 27 88 82 81 30 45 
22 92 21 76 68 3 83 38 88 66 75 79 70 46 35 20 8 61 97 71 16 54 72 51 33 4 32 36 42 28 19 2 43 99 89 63 87 40 49 48 26 9 62 77 93 95 69 31 85 86 78 37 74 73 5 6 44 50 57 14 65 30 53 55 52 45 15 17 1 98 24 60 41 59 100 91 58 34 47 25 56 39 84 80 29 64 12 67 81 10 11 82 13 96 7 18 94 90 27 23 
35 68 49 97 42 32 29 13 54 99 58 15 48 31 93 43 88 26 16 18 61 55 86 89 84 50 14 11 45 98 41 92 72 52 74 51 67 17 23 94 73 34 2 44 80 36 1 76 60 71 77 59 53 91 70 69 40 12 10 24 19 38 65 7 28 37 85 39 90 25 62 30 63 46 21 3 75 81 83 78 57 22 9 4 79 100 33 6 96 27 20 82 64 5 87 66 56 95 47 8 
