20
1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
20 4 15 16 11 3 7 18 9 5 13 8 6 12 2 10 1 17 14 19 
3 19 15 16 5 11 9 12 13 20 14 6 10 8 2 1 4 17 7 18 
7 6 19 13 20 8 12 11 15 14 18 3 4 5 10 17 1 2 9 16 
12 1 5 14 6 19 2 18 9 4 3 8 7 15 20 13 11 17 16 10 
3 4 1 17 9 18 6 13 5 12 10 2 20 7 14 19 15 8 11 16 
16 17 12 14 11 13 2 4 10 15 3 18 7 5 1 20 19 9 8 6 
11 9 20 3 10 4 1 12 2 17 15 5 8 14 19 7 18 13 16 6 
17 11 1 13 6 15 7 16 14 12 10 4 3 19 8 2 18 5 20 9 
14 8 13 11 15 12 20 17 7 5 10 19 16 3 1 4 18 6 2 9 
20 16 19 1 6 5 7 13 8 9 11 3 17 18 4 12 10 14 15 2 
12 1 8 6 2 19 13 18 14 20 17 15 16 4 5 3 7 11 9 10 
9 18 11 8 19 15 5 10 16 12 6 20 14 1 13 7 3 2 17 4 
7 13 6 8 4 1 9 16 19 18 17 11 12 3 14 10 20 2 5 15 
11 1 14 20 5 19 13 16 7 10 17 12 18 6 15 2 9 3 8 4 
15 4 1 6 20 9 5 7 16 13 19 8 2 12 17 3 14 11 10 18 
15 11 14 12 18 19 20 4 16 9 17 13 10 2 1 7 8 3 6 5 
5 15 12 8 6 7 16 10 17 11 2 4 13 20 19 18 3 9 14 1 
16 3 4 18 15 6 9 11 1 19 20 8 17 13 12 7 2 10 5 14 
14 2 1 20 4 12 13 5 11 18 7 3 6 17 19 15 16 8 9 10 
2 14 18 16 5 8 9 4 15 6 13 17 20 3 11 19 10 7 12 1 
10 4 13 3 9 5 16 11 1 17 7 15 20 19 18 6 14 8 12 2 
10 20 4 1 5 6 2 12 19 15 11 18 13 8 16 7 3 14 17 9 
8 11 2 7 19 16 15 6 12 20 1 10 3 14 5 4 17 13 18 9 
15 19 5 12 11 20 7 2 3 1 16 14 4 6 10 9 8 18 13 17 
7 16 18 4 3 15 11 2 14 10 8 12 19 6 13 20 9 5 17 1 
5 17 7 1 16 12 8 3 11 10 18 4 2 6 13 19 20 14 15 9 
17 10 7 8 12 14 6 20 3 1 9 19 13 11 18 15 16 4 5 2 
2 10 1 8 20 3 13 14 12 16 6 9 17 18 11 15 7 19 4 5 
16 14 1 12 6 18 4 20 11 17 3 13 15 10 9 5 19 2 8 7 
8 10 12 3 13 7 16 11 5 20 1 19 6 18 2 14 17 15 4 9 
16 14 9 15 20 3 6 18 8 17 19 13 7 4 11 10 2 1 5 12 
8 20 1 15 2 5 4 17 9 11 6 16 12 3 7 10 19 13 18 14 
6 15 4 7 17 11 14 16 5 8 1 18 2 10 13 9 19 12 3 20 
8 16 17 9 1 18 15 10 11 3 4 12 19 7 14 13 6 5 20 2 
17 1 14 5 10 15 4 16 3 2 6 13 18 9 20 8 7 19 11 12 
4 6 11 1 16 18 8 10 12 15 17 5 20 3 19 9 13 14 2 7 
3 12 2 1 15 11 17 16 14 7 20 13 10 19 18 9 8 4 6 5 
9 8 17 18 6 5 2 7 1 4 14 20 12 16 13 10 11 19 15 3 
13 5 11 4 14 6 1 10 16 7 3 20 2 12 17 18 19 15 9 8 
14 7 20 10 6 3 1 12 2 19 5 9 17 18 16 8 13 11 4 15 


