60
1
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 
1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 
41 38 57 16 51 33 23 25 9 44 21 8 26 52 2 27 39 22 14 46 58 24 7 17 18 32 36 43 56 10 60 37 3 20 59 30 45 4 1 49 34 12 35 5 55 47 40 53 19 48 11 42 54 29 50 6 31 13 28 15 
9 44 6 34 25 8 3 4 58 1 47 45 11 16 48 17 38 40 49 60 21 12 37 14 42 35 32 33 52 54 55 7 46 41 36 26 53 20 22 56 28 18 24 39 59 2 31 50 57 30 43 10 51 29 19 5 15 13 27 23 
9 22 16 57 43 53 48 2 6 40 59 56 14 19 49 36 1 31 11 5 50 21 4 44 28 25 20 29 35 18 34 42 38 17 7 27 30 47 37 8 39 51 58 32 54 46 15 26 24 55 60 12 13 23 41 45 10 3 33 52 
28 32 11 18 49 39 37 4 56 60 31 40 46 51 20 30 21 44 29 26 3 12 5 16 48 54 2 52 35 23 9 36 38 59 58 22 13 33 10 50 45 25 14 34 41 6 53 15 19 7 1 47 55 42 24 27 57 43 8 17 
3 34 6 24 50 19 18 57 12 28 48 39 21 9 25 47 46 56 38 30 43 36 44 13 29 26 16 17 5 37 41 33 54 58 2 20 42 1 22 31 27 53 10 32 55 14 45 60 7 40 35 49 11 52 59 15 8 4 23 51 
12 23 21 25 44 5 37 24 17 29 51 46 8 9 2 55 20 57 59 11 60 35 31 14 53 38 32 6 7 13 26 49 47 41 52 1 22 34 15 3 54 40 16 33 39 30 50 10 18 56 43 48 42 45 58 36 28 27 19 4 
5 38 39 40 45 25 33 12 56 60 55 29 8 48 32 13 6 47 15 54 53 23 26 22 58 9 24 59 10 18 46 19 36 11 42 27 30 43 1 16 7 49 21 34 31 2 57 35 41 50 52 4 51 17 3 20 14 44 37 28 
14 55 47 30 8 42 53 38 46 54 2 59 9 5 35 39 52 1 10 37 45 32 34 27 25 28 40 36 15 12 43 41 48 21 22 31 6 44 16 7 19 51 3 56 23 29 24 57 4 18 50 11 17 49 33 58 20 60 13 26 
47 58 31 4 24 36 28 59 5 10 52 29 13 12 51 15 43 25 22 21 56 37 26 18 17 2 9 44 34 42 3 48 54 41 14 57 30 16 45 35 1 20 33 60 40 55 46 49 19 7 38 27 32 8 50 23 6 39 11 53 
12 25 2 16 50 15 7 4 47 40 58 21 28 11 9 27 60 37 3 1 8 30 51 55 52 29 23 38 20 31 41 10 5 56 42 24 6 57 49 54 34 14 33 45 32 53 18 46 39 26 36 22 35 17 48 13 59 44 43 19 
24 33 7 12 15 20 8 48 11 19 13 36 39 44 49 1 32 34 28 2 21 16 37 30 51 27 58 31 14 45 26 23 47 52 17 54 22 57 5 56 46 35 29 18 60 50 59 38 25 9 3 55 43 40 6 53 10 42 4 41 
20 19 33 44 39 18 24 13 47 4 1 26 15 16 6 27 45 57 31 14 3 35 53 56 10 38 23 29 9 49 5 25 46 43 54 59 40 22 52 32 55 7 17 2 50 12 60 8 58 51 28 37 42 21 11 41 34 30 48 36 
27 18 60 10 40 2 30 23 41 52 37 50 22 43 12 13 42 24 53 47 7 19 51 34 16 46 1 32 54 35 26 17 25 44 11 28 31 45 56 38 33 59 55 15 6 49 20 58 8 29 39 4 57 21 14 9 36 3 48 5 
14 20 57 15 54 33 58 2 17 40 8 47 5 59 1 44 12 23 51 3 25 22 16 29 45 32 28 10 34 7 52 37 24 35 41 13 55 19 38 48 42 6 53 30 50 26 9 36 60 27 56 49 46 4 11 18 31 39 43 21 
28 24 43 45 34 60 22 16 44 6 48 2 40 55 26 4 9 47 36 58 32 1 49 23 5 54 7 35 29 3 42 14 25 27 13 46 17 52 51 57 53 11 56 59 39 50 33 19 41 8 15 20 12 37 30 18 31 38 10 21 
48 23 38 34 10 13 32 27 50 33 35 46 36 16 7 20 31 22 11 28 4 43 5 60 53 14 55 58 26 3 37 1 51 12 56 17 47 49 52 2 6 8 39 24 41 44 54 30 18 21 57 19 29 25 59 45 9 40 15 42 
18 48 49 34 1 17 55 39 52 25 27 46 16 14 32 24 38 11 22 28 45 12 2 19 43 51 6 41 35 53 44 56 42 26 47 40 29 31 8 33 57 13 10 30 3 37 23 58 60 21 20 7 36 50 5 15 54 4 59 9 
55 37 29 57 6 30 9 22 7 54 34 12 24 41 27 46 32 8 33 23 25 3 40 48 36 45 52 49 38 5 18 20 50 47 4 60 56 53 2 43 15 13 51 14 28 17 42 19 21 26 10 39 58 16 11 1 35 31 59 44 
15 55 32 17 43 58 33 54 16 26 4 13 34 1 37 49 23 19 6 53 50 9 51 35 5 41 11 47 52 3 18 8 42 57 30 29 60 27 28 31 25 48 14 56 12 36 10 21 44 22 39 2 20 46 45 38 59 24 40 7 
42 56 2 33 29 13 18 57 39 20 28 59 25 51 30 17 48 24 6 14 15 38 46 45 26 8 49 16 4 60 41 52 10 32 12 36 58 1 27 3 9 55 54 50 5 22 43 34 44 37 35 31 47 53 23 21 40 7 19 11 
16 60 11 52 32 45 8 43 49 6 1 50 19 14 54 42 34 3 5 46 12 15 21 10 13 20 22 38 47 9 18 41 48 55 30 26 35 39 59 37 17 33 27 24 23 40 7 53 25 51 58 28 57 36 44 56 31 2 4 29 
41 14 19 58 56 59 55 39 11 48 28 50 32 23 37 30 52 22 20 8 24 16 42 3 4 9 38 47 31 49 29 26 34 7 57 25 44 54 10 27 6 12 17 60 18 5 13 35 1 51 40 53 45 43 2 36 15 21 46 33 
36 54 23 5 27 50 59 41 12 26 20 32 52 33 13 7 38 1 14 9 29 3 47 60 11 2 31 24 57 15 56 55 22 30 17 25 58 34 44 46 49 8 40 6 37 4 48 53 42 45 43 21 18 39 19 10 16 35 51 28 
52 13 24 34 8 21 58 4 6 20 2 50 14 26 60 40 5 10 1 48 45 35 23 3 29 27 7 37 19 56 16 36 17 15 46 18 41 28 49 31 43 30 59 33 25 11 53 9 32 22 12 44 57 47 42 51 54 39 38 55 
54 11 42 1 6 51 18 9 60 7 29 26 8 15 14 46 55 35 53 39 45 21 44 4 50 41 37 10 12 36 43 49 20 2 40 52 24 31 57 22 23 3 34 19 58 32 38 28 33 16 56 47 30 17 25 13 5 27 48 59 
8 34 45 31 2 17 46 29 22 44 23 6 19 15 37 47 5 24 59 53 41 54 35 16 13 58 27 52 12 26 51 30 7 21 25 3 38 40 60 57 39 18 43 28 50 20 11 55 42 33 1 49 14 56 9 36 4 48 10 32 
